[2025-07-30 08:43:15.764387] [ALLOWED] 172.3.0.201:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:15.765307] [ALLOWED] 172.3.0.201:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:15.765824] [ALLOWED] 172.3.0.201:51250 -> 224.0.0.252:5355 | Proto: 17
[2025-07-30 08:43:15.766270] [ALLOWED] 172.3.0.199:62304 -> 239.255.255.250:1900 | Proto: 17
[2025-07-30 08:43:16.009678] [ALLOWED] 172.3.0.173:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:16.010768] [ALLOWED] 172.3.0.158:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:16.011381] [ALLOWED] 172.3.0.201:137 -> 172.3.255.255:137 | Proto: 17
[2025-07-30 08:43:16.011964] [ALLOWED] 172.3.0.201:137 -> 172.3.255.255:137 | Proto: 17
[2025-07-30 08:43:16.012480] [ALLOWED] 172.3.0.201:137 -> 172.3.255.255:137 | Proto: 17
[2025-07-30 08:43:16.276525] [ALLOWED] 172.3.0.158:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:16.277078] [ALLOWED] 172.3.0.198:53208 -> 239.255.255.250:1900 | Proto: 17
[2025-07-30 08:43:16.385229] [ALLOWED] 172.3.0.182:50043 -> 8.8.4.4:443 | Proto: 6
[2025-07-30 08:43:16.388924] [ALLOWED] 8.8.4.4:443 -> 172.3.0.182:50043 | Proto: 6
[2025-07-30 08:43:16.389541] [ALLOWED] 172.3.0.182:50043 -> 8.8.4.4:443 | Proto: 6
[2025-07-30 08:43:16.390097] [ALLOWED] 172.3.0.182:50043 -> 8.8.4.4:443 | Proto: 6
[2025-07-30 08:43:16.393645] [ALLOWED] 8.8.4.4:443 -> 172.3.0.182:50043 | Proto: 6
[2025-07-30 08:43:16.394276] [ALLOWED] 8.8.4.4:443 -> 172.3.0.182:50043 | Proto: 6
[2025-07-30 08:43:16.406121] [ALLOWED] 8.8.4.4:443 -> 172.3.0.182:50043 | Proto: 6
[2025-07-30 08:43:16.406755] [ALLOWED] 172.3.0.182:50043 -> 8.8.4.4:443 | Proto: 6
[2025-07-30 08:43:16.407242] [ALLOWED] 172.3.0.182:50043 -> 8.8.4.4:443 | Proto: 6
[2025-07-30 08:43:16.407642] [ALLOWED] 172.3.0.182:50044 -> 8.8.4.4:443 | Proto: 6
[2025-07-30 08:43:16.409303] [ALLOWED] 8.8.4.4:443 -> 172.3.0.182:50043 | Proto: 6
[2025-07-30 08:43:16.409805] [ALLOWED] 8.8.4.4:443 -> 172.3.0.182:50044 | Proto: 6
[2025-07-30 08:43:16.410195] [ALLOWED] 172.3.0.182:50044 -> 8.8.4.4:443 | Proto: 6
[2025-07-30 08:43:16.410717] [ALLOWED] 172.3.0.182:50044 -> 8.8.4.4:443 | Proto: 6
[2025-07-30 08:43:16.411120] [ALLOWED] 8.8.4.4:443 -> 172.3.0.182:50044 | Proto: 6
[2025-07-30 08:43:16.411498] [ALLOWED] 8.8.4.4:443 -> 172.3.0.182:50044 | Proto: 6
[2025-07-30 08:43:16.424277] [ALLOWED] 8.8.4.4:443 -> 172.3.0.182:50044 | Proto: 6
[2025-07-30 08:43:16.424931] [ALLOWED] 172.3.0.182:50044 -> 8.8.4.4:443 | Proto: 6
[2025-07-30 08:43:16.425398] [ALLOWED] 172.3.0.182:50044 -> 8.8.4.4:443 | Proto: 6
[2025-07-30 08:43:16.426273] [ALLOWED] 8.8.4.4:443 -> 172.3.0.182:50044 | Proto: 6
[2025-07-30 08:43:16.483191] [ALLOWED] 172.3.0.198:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:16.483962] [ALLOWED] 172.3.0.198:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:16.484865] [ALLOWED] 172.3.0.158:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:16.485376] [ALLOWED] 172.3.0.200:1900 -> 239.255.255.250:1900 | Proto: 17
[2025-07-30 08:43:16.485830] [ALLOWED] 172.3.0.182:50004 -> 52.187.79.109:443 | Proto: 6
[2025-07-30 08:43:16.486256] [ALLOWED] 52.187.79.109:443 -> 172.3.0.182:50004 | Proto: 6
[2025-07-30 08:43:16.789792] [ALLOWED] 172.3.0.199:62304 -> 239.255.255.250:1900 | Proto: 17
[2025-07-30 08:43:16.790475] [ALLOWED] 172.3.0.201:137 -> 172.3.255.255:137 | Proto: 17
[2025-07-30 08:43:16.791013] [ALLOWED] 172.3.0.201:137 -> 172.3.255.255:137 | Proto: 17
[2025-07-30 08:43:16.791501] [ALLOWED] 172.3.0.201:137 -> 172.3.255.255:137 | Proto: 17
[2025-07-30 08:43:16.793035] [ALLOWED] 172.3.0.158:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:16.794510] [ALLOWED] 172.3.0.170:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:16.891155] [ALLOWED] 172.3.0.170:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:16.892743] [ALLOWED] 172.3.0.170:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:16.893316] [ALLOWED] 172.3.0.198:137 -> 172.3.255.255:137 | Proto: 17
[2025-07-30 08:43:16.893808] [ALLOWED] 172.3.0.198:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:16.894307] [ALLOWED] 172.3.0.198:5353 -> 224.0.0.251:5353 | Proto: 17
[2025-07-30 08:43:16.894815] [ALLOWED] 172.3.0.198:61848 -> 224.0.0.252:5355 | Proto: 17
[2025-07-30 08:43:16.895326] [ALLOWED] 172.3.0.198:52678 -> 224.0.0.252:5355 | Proto: 17
[2025-07-30 08:43:16.993084] [ALLOWED] 172.3.0.199:51782 -> 239.255.255.250:1900 | Proto: 17
[2025-07-30 08:43:17.114263] [ALLOWED] 172.3.0.182:50045 -> 8.8.8.8:443 | Proto: 6
[2025-07-30 08:43:17.117477] [ALLOWED] 8.8.8.8:443 -> 172.3.0.182:50045 | Proto: 6
[2025-07-30 08:43:17.117998] [ALLOWED] 172.3.0.182:50045 -> 8.8.8.8:443 | Proto: 6
[2025-07-30 08:43:17.118551] [ALLOWED] 172.3.0.182:50045 -> 8.8.8.8:443 | Proto: 6
[2025-07-30 08:43:17.119475] [ALLOWED] 8.8.8.8:443 -> 172.3.0.182:50045 | Proto: 6
[2025-07-30 08:43:17.119905] [ALLOWED] 8.8.8.8:443 -> 172.3.0.182:50045 | Proto: 6
[2025-07-30 08:43:17.134947] [ALLOWED] 8.8.8.8:443 -> 172.3.0.182:50045 | Proto: 6
[2025-07-30 08:43:17.135517] [ALLOWED] 172.3.0.182:50045 -> 8.8.8.8:443 | Proto: 6
[2025-07-30 08:43:17.135960] [ALLOWED] 172.3.0.182:50045 -> 8.8.8.8:443 | Proto: 6
[2025-07-30 08:43:17.136364] [ALLOWED] 172.3.0.182:50046 -> 8.8.8.8:443 | Proto: 6
[2025-07-30 08:43:17.137048] [ALLOWED] 8.8.8.8:443 -> 172.3.0.182:50045 | Proto: 6
[2025-07-30 08:43:17.137510] [ALLOWED] 8.8.8.8:443 -> 172.3.0.182:50046 | Proto: 6
[2025-07-30 08:43:17.137909] [ALLOWED] 172.3.0.182:50046 -> 8.8.8.8:443 | Proto: 6
[2025-07-30 08:43:17.138399] [ALLOWED] 172.3.0.182:50046 -> 8.8.8.8:443 | Proto: 6
[2025-07-30 08:43:17.139577] [ALLOWED] 8.8.8.8:443 -> 172.3.0.182:50046 | Proto: 6
[2025-07-30 08:43:17.140030] [ALLOWED] 8.8.8.8:443 -> 172.3.0.182:50046 | Proto: 6
[2025-07-30 08:43:17.150919] [ALLOWED] 8.8.8.8:443 -> 172.3.0.182:50046 | Proto: 6
[2025-07-30 08:43:17.151517] [ALLOWED] 172.3.0.182:50046 -> 8.8.8.8:443 | Proto: 6
[2025-07-30 08:43:17.151960] [ALLOWED] 172.3.0.182:50046 -> 8.8.8.8:443 | Proto: 6
[2025-07-30 08:43:17.152754] [ALLOWED] 8.8.8.8:443 -> 172.3.0.182:50046 | Proto: 6
[2025-07-30 08:43:17.301055] [ALLOWED] 172.3.0.198:61848 -> 224.0.0.252:5355 | Proto: 17
[2025-07-30 08:43:17.301736] [ALLOWED] 172.3.0.198:52678 -> 224.0.0.252:5355 | Proto: 17
[2025-07-30 08:43:17.302238] [ALLOWED] 172.3.0.198:5353 -> 224.0.0.251:5353 | Proto: 17
